state_fips,county_fips,poverty_all_pct,child_poverty_pct,median_income,county,year
37,45,18.8,26.6,39911,Cleveland,2017
37,47,23.1,34.7,37639,Columbus,2017
37,49,16.3,26.4,51390,Craven,2017
37,51,18.6,25.1,44065,Cumberland,2017
37,53,10.7,15.0,62397,Currituck,2017
37,55,9.4,16.3,57316,Dare,2017
37,57,15.2,21.5,47595,Davidson,2017
37,59,12.2,17.1,58147,Davie,2017
37,61,20.7,30.5,39470,Duplin,2017
37,63,15.7,24.3,60045,Durham,2017
37,65,25.5,38.5,35130,Edgecombe,2017
37,67,16.6,25.1,50803,Forsyth,2017
37,69,15.7,23.9,53076,Franklin,2017
37,71,15.1,21.7,50016,Gaston,2017
37,73,15.7,22.6,50164,Gates,2017
37,75,18.1,28.0,37748,Graham,2017
37,77,12.6,17.0,53142,Granville,2017
37,79,27.6,43.7,40131,Greene,2017
37,81,14.5,19.7,52284,Guilford,2017
37,83,28.1,40.2,34027,Halifax,2017
37,85,16.4,22.9,51406,Harnett,2017
37,87,14.5,22.5,47872,Haywood,2017
37,89,10.7,17.5,51314,Henderson,2017
37,91,24.4,36.7,38786,Hertford,2017
37,93,15.9,23.2,50777,Hoke,2017
37,95,21.9,30.8,41214,Hyde,2017
37,97,11.3,16.4,56559,Iredell,2017
37,99,17.0,22.5,46113,Jackson,2017
37,101,15.1,21.4,58647,Johnston,2017
37,103,22.3,32.6,41523,Jones,2017
37,105,14.8,22.9,53297,Lee,2017
37,107,24.7,37.7,39411,Lenoir,2017
37,109,12.5,15.1,57042,Lincoln,2017
37,111,16.2,25.9,42853,McDowell,2017
37,113,16.2,26.5,42456,Macon,2017
37,115,17.6,24.3,41891,Madison,2017
37,117,20.5,30.7,37225,Martin,2017
37,119,11.4,16.8,65750,Mecklenburg,2017
37,121,16.7,25.6,40589,Mitchell,2017
37,123,17.8,27.3,43695,Montgomery,2017
37,125,10.7,14.8,62781,Moore,2017
37,127,15.8,23.9,47597,Nash,2017
37,129,15.5,21.0,53692,New Hanover,2017
37,131,24.3,40.1,36190,Northampton,2017
37,133,13.5,18.3,49634,Onslow,2017
37,135,13.4,11.2,69422,Orange,2017
37,137,17.4,30.5,48410,Pamlico,2017
37,139,20.2,30.7,46709,Pasquotank,2017
37,141,12.6,17.5,52187,Pender,2017
37,143,18.0,28.0,45011,Perquimans,2017
37,145,15.1,21.9,50269,Person,2017
37,147,21.7,29.6,46229,Pitt,2017
37,149,12.5,21.3,45587,Polk,2017
37,151,15.8,23.4,44207,Randolph,2017
37,153,24.8,37.1,36401,Richmond,2017
37,155,29.0,44.4,33714,Robeson,2017
37,157,16.3,23.9,46247,Rockingham,2017
37,159,15.3,22.4,47541,Rowan,2017
37,161,16.1,24.4,40758,Rutherford,2017
37,163,20.7,31.1,41951,Sampson,2017
37,165,26.4,39.3,37947,Scotland,2017
37,167,12.4,19.6,49871,Stanly,2017
37,169,14.1,20.6,48748,Stokes,2017
37,171,16.1,23.1,43023,Surry,2017
37,173,15.8,24.0,41407,Swain,2017
37,175,15.2,24.3,47587,Transylvania,2017
37,177,24.4,35.0,35223,Tyrrell,2017
37,179,9.1,11.6,77875,Union,2017
37,181,23.4,38.0,39847,Vance,2017
37,183,8.9,11.6,77641,Wake,2017
37,185,20.9,33.0,36831,Warren,2017
37,187,24.8,40.7,36171,Washington,2017
37,189,20.5,16.8,48417,Watauga,2017
37,191,20.3,31.1,44592,Wayne,2017
37,193,18.5,24.7,42453,Wilkes,2017
37,195,18.1,28.7,44825,Wilson,2017
37,197,13.4,22.0,46885,Yadkin,2017
37,199,16.5,25.5,41053,Yancey,2017
37,1,13.5,19.8,50480,Alamance,2018
37,3,13.0,19.6,49138,Alexander,2018
37,5,18.7,29.8,39735,Alleghany,2018
37,7,20.5,31.5,38023,Anson,2018
37,9,16.9,26.2,41864,Ashe,2018
37,11,16.8,25.4,41701,Avery,2018
37,13,18.1,27.5,46411,Beaufort,2018
37,15,23.5,32.0,35433,Bertie,2018
37,17,29.1,44.2,36976,Bladen,2018
37,19,10.5,20.1,60163,Brunswick,2018
37,21,11.5,16.8,53960,Buncombe,2018
37,23,14.0,20.6,44946,Burke,2018
37,25,9.0,12.9,69297,Cabarrus,2018
37,27,15.9,22.4,43328,Caldwell,2018
37,29,8.3,9.9,65955,Camden,2018
37,31,9.8,15.9,55052,Carteret,2018
37,33,17.1,28.1,45517,Caswell,2018
37,35,13.0,20.0,53738,Catawba,2018
37,37,9.3,14.2,73703,Chatham,2018
37,39,18.8,27.9,41262,Cherokee,2018
37,41,17.2,30.2,42618,Chowan,2018
37,43,14.6,24.2,42878,Clay,2018
37,45,19.1,28.4,42728,Cleveland,2018
37,47,25.3,36.2,36862,Columbus,2018
37,49,14.9,21.8,50748,Craven,2018
37,51,17.0,23.7,46779,Cumberland,2018
37,53,9.7,13.8,64426,Currituck,2018
37,55,8.3,13.6,64768,Dare,2018
37,57,15.0,23.2,47758,Davidson,2018
37,59,10.8,15.5,60801,Davie,2018
37,61,20.4,30.7,42725,Duplin,2018
37,63,13.5,19.3,59329,Durham,2018
37,65,22.9,37.0,38818,Edgecombe,2018
37,67,16.4,25.1,50112,Forsyth,2018
37,69,12.7,20.0,57710,Franklin,2018
37,71,14.2,19.2,52798,Gaston,2018
37,73,15.2,21.1,51746,Gates,2018
37,75,18.9,26.3,39502,Graham,2018
37,77,13.0,19.1,58956,Granville,2018
37,79,23.5,34.3,43591,Greene,2018
37,81,15.4,23.1,52166,Guilford,2018
37,83,22.0,33.6,36760,Halifax,2018
37,85,14.4,19.7,51225,Harnett,2018
37,87,13.1,21.8,47183,Haywood,2018
37,89,9.7,15.5,54012,Henderson,2018
37,91,23.2,31.7,38216,Hertford,2018
37,93,18.0,25.6,47892,Hoke,2018
37,95,22.2,31.9,40653,Hyde,2018
37,97,9.5,13.6,60044,Iredell,2018
37,99,16.7,21.4,44502,Jackson,2018
37,101,11.7,16.7,60296,Johnston,2018
37,103,16.2,28.9,43302,Jones,2018
37,105,15.7,22.5,48984,Lee,2018
37,107,22.1,37.7,40433,Lenoir,2018
37,109,10.3,14.6,62963,Lincoln,2018
37,111,15.4,21.4,43972,McDowell,2018
37,113,16.3,26.1,46426,Macon,2018
37,115,17.0,23.0,44693,Madison,2018
37,117,20.3,30.6,43569,Martin,2018
37,119,11.7,17.5,64509,Mecklenburg,2018
37,121,16.1,23.9,43967,Mitchell,2018
37,123,16.7,26.1,47757,Montgomery,2018
37,125,10.5,14.9,59471,Moore,2018
37,127,14.2,22.8,50122,Nash,2018
37,129,15.3,19.3,53419,New Hanover,2018
37,131,21.4,34.3,37233,Northampton,2018
37,133,15.1,20.8,50531,Onslow,2018
37,135,12.4,10.8,71920,Orange,2018
37,137,16.6,29.3,46447,Pamlico,2018
37,139,18.2,28.2,46355,Pasquotank,2018
37,141,15.1,21.9,54900,Pender,2018
37,143,15.8,27.6,48337,Perquimans,2018
37,145,14.8,23.4,50149,Person,2018
37,147,23.2,26.5,43303,Pitt,2018
37,149,11.8,20.4,50467,Polk,2018
37,151,13.8,20.6,48372,Randolph,2018
37,153,19.9,31.1,38514,Richmond,2018
37,155,24.5,35.6,35407,Robeson,2018
37,157,17.9,26.0,41869,Rockingham,2018
37,159,16.3,25.2,46864,Rowan,2018
37,161,19.1,28.3,42831,Rutherford,2018
37,163,22.8,33.0,42807,Sampson,2018
37,165,26.9,41.8,36730,Scotland,2018
37,167,13.2,19.2,51491,Stanly,2018
37,169,12.1,18.2,50826,Stokes,2018
37,171,16.0,23.6,46342,Surry,2018
37,173,15.2,22.9,43121,Swain,2018
37,175,12.8,22.6,51398,Transylvania,2018
37,177,25.2,35.1,36765,Tyrrell,2018
37,179,7.0,9.4,80428,Union,2018
37,181,26.3,35.8,40263,Vance,2018
